NCES LEA ID,State ID,District Name,Mailing Address,City,State,Zip Code,Zip +4,Telephone,Locale codes of schools in the LEA,Each school has a locale code of 7 or 8?,Is the LEA defined as rural by the State?,Average Daily Attendance,Is county population density less than 10 persons/sq. mile?,Percentage of children from families below poverty line,Does LEA meet low-income poverty requirement?,Alternate Poverty Data Provided by State,"According to alternate data, does LEA meet low-income poverty requirement?","Does each school in LEA have locale code of 6,7, or 8?","FY 2011 Title II, Part A allocation amount","FY 2011 Title II, Part D formula allocation amount - PLEASE LEAVE BLANK","FY 2011 Title IV, Part A allocation amount - PLEASE LEAVE BLANK",FY 2011 Title V allocation amount - PLEASE LEAVE BLANK,SRSA rural eligible,SRSA Small Eligible,SRSA Rural Eligible,SRSA Small Check,SRSA eligible,RLIS rural eligible,RLIS pov. Eligible,Initial RLIS eligible,RLIS eligible
3603660,240101040000,AVON CENTRAL SCHOOL DISTRICT,191 CLINTON ST,AVON,NY,14414,1495,5852262455,8,YES,NO,1006,NO,8.73,NO,,,YES,"$34,027",,,,1,0,0,0,-,1,0,0,-
3603720,580101030000,BABYLON UNION FREE SCHOOL DISTRICT,50 RAILROAD AVE,BABYLON,NY,11702,2221,6318937925,3,NO,NO,1788,NO,4.81,NO,,,NO,"$45,938",,,,0,0,0,0,-,0,0,0,-
3603810,80201040000,BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT,18 JULIAND ST,BAINBRIDGE,NY,13733,1097,6079676321,7,YES,YES,826,NO,16.69,NO,,,YES,"$53,916",,,,1,0,0,0,-,1,0,0,-
3603840,280210030000,BALDWIN UNION FREE SCHOOL DISTRICT,960 HASTINGS ST,BALDWIN,NY,11510,4798,5163779271,3,NO,NO,5197,NO,6.71,NO,,,NO,"$114,712",,,,0,0,0,0,-,0,0,0,-
3603870,420901060000,BALDWINSVILLE CENTRAL SCHOOL DISTRICT,29 E ONEIDA ST,BALDWINSVILLE,NY,13027,2480,3156386043,"4,8",NO,NO,5730,NO,9.26,NO,,,NO,"$147,839",,,,0,0,0,0,-,0,0,0,-
3603930,521301060000,BALLSTON SPA CENTRAL SCHOOL DISTRICT,70 MALTA AVE,BALLSTON SPA,NY,12020,1599,5188847195,"4,8",NO,NO,4185,NO,8.13,NO,,,NO,"$126,876",,,,0,0,0,0,-,0,0,0,-
3603960,401301040000,BARKER CENTRAL SCHOOL DISTRICT,PO BOX 328,BARKER,NY,14012,328,7167953832,8,YES,YES,937,NO,17.43,NO,,,YES,"$47,448",,,,1,0,0,0,-,1,0,0,-
3603990,180300010000,BATAVIA CITY SCHOOL DISTRICT,PO BOX 677,BATAVIA,NY,14021,677,5853432480,"6,7",NO,NO,2357,NO,21.32,YES,,,YES,"$131,163",,,,0,0,0,0,-,1,1,Initial,RLIS
3604050,570302060000,BATH CENTRAL SCHOOL DISTRICT,25 ELLAS AVE,BATH,NY,14810,1107,6077763301,6,NO,NO,1614,NO,17.35,NO,,,YES,"$98,365",,,,0,0,0,0,-,1,0,0,-
3604080,580501030000,BAY SHORE UNION FREE SCHOOL DISTRICT,75 W PERKAL ST,BAY SHORE,NY,11706,6696,6319681117,3,NO,NO,5797,NO,8.42,NO,,,NO,"$218,641",,,,0,0,0,0,-,0,0,0,-
3604110,580505020000,BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT,189 ACADEMY ST,BAYPORT,NY,11705,1799,6314727860,3,NO,NO,2503,NO,4.5,NO,,,NO,"$53,248",,,,0,0,0,0,-,0,0,0,-
3604140,130200010000,BEACON CITY SCHOOL DISTRICT,10 EDUCATION DR,BEACON,NY,12508,3994,8458386900,4,NO,NO,3292,NO,14.09,NO,,,NO,"$140,084",,,,0,0,0,0,-,0,0,0,-
3604200,231301040000,BEAVER RIVER CENTRAL SCHOOL DISTRICT,PO BOX 179,BEAVER FALLS,NY,13305,179,3153461211,7,YES,YES,892,NO,15.81,NO,,,YES,"$57,058",,,,1,0,0,0,-,1,0,0,-
3619950,660102060000,BEDFORD CENTRAL SCHOOL DISTRICT,PO BOX 180,MOUNT KISCO,NY,10549,180,9142416010,"3,8",NO,NO,4359,NO,7.98,NO,,,NO,N/A,,,,0,0,0,0,-,0,0,0,-
3600965,331600860918,BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL,800 GATES AVE-4TH FL,BROOKLYN,NY,11221,,7186697460,1,NO,NO,201,NO,M,NO,,,NO,"$5,949",,,,0,1,0,0,-,0,0,0,-
3601029,331600860971,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,82 LEWIS AVE,BROOKLYN,NY,11213,,2124378318,1,NO,NO,183,NO,M,NO,,,NO,"$9,722",,,,0,1,0,0,-,0,0,0,-
3604290,90301060000,BEEKMANTOWN CENTRAL SCHOOL DISTRICT,37 EAGLE WAY,WEST CHAZY,NY,12992,2577,5183242999,7,YES,NO,1936,NO,13.03,NO,,,YES,"$96,075",,,,1,0,0,0,-,1,0,0,-
3600041,331400860825,BEGINNING WITH CHILDREN CHARTER SCHOOL,11 BARTLETT ST,BROOKLYN,NY,11206,5001,7183888847,1,NO,NO,441,NO,M,NO,,,NO,"$37,215",,,,0,1,0,0,-,0,0,0,-
3604350,20801040000,BELFAST CENTRAL SCHOOL DISTRICT,PO BOX 336,BELFAST,NY,14711,336,5853659940,7,YES,YES,346,NO,20,YES,,,YES,"$32,891",,,,1,1,0,0,SRSA,1,1,Initial,RLIS
3600948,331400860945,BELIEVE NORTHSIDE CHARTER HIGH SCHOOL,424 LEONARD ST - 4TH FL,BROOKLYN,NY,11222,,7187829830,1,NO,NO,173,NO,M,NO,,,NO,"$7,516",,,,0,1,0,0,-,0,0,0,-
3600972,331400860946,BELIEVE SOUTHSIDE CHARTER HIGH SCHOOL,424 LEONARD ST - 4TH FL,BROOKLYN,NY,11222,,7187829830,1,NO,NO,193,NO,M,NO,,,NO,"$7,784",,,,0,1,0,0,-,0,0,0,-
3604370,220909040000,BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT,PO BOX 158,BELLEVILLE,NY,13611,158,3158465826,7,YES,YES,480,NO,26.22,YES,,,YES,"$50,803",,,,1,1,0,0,SRSA,1,1,Initial,RLIS
3604410,280207020000,BELLMORE UNION FREE SCHOOL DISTRICT,580 WINTHROP AVE,BELLMORE,NY,11710,5099,5166792909,3,NO,NO,1143,NO,4.01,NO,,,NO,"$40,987",,,,0,0,0,0,-,0,0,0,-
3619020,280253070000,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,1260 MEADOWBROOK RD,NORTH MERRICK,NY,11566,9998,5169921001,3,NO,NO,6006,NO,3.22,NO,,,NO,"$111,939",,,,0,0,0,0,-,0,0,0,-
3604530,61001040000,BEMUS POINT CENTRAL SCHOOL DISTRICT,PO BOX 468,BEMUS POINT,NY,14712,468,7163862375,7,YES,YES,748,NO,9.06,NO,,,YES,"$30,370",,,,1,0,0,0,-,1,0,0,-
3604590,100308020000,BERKSHIRE UNION FREE SCHOOL DISTRICT,PO BOX 370,CANAAN,NY,12029,370,5187813500,7,YES,YES,87,NO,M,NO,,,YES,"$2,803",,,,1,1,0,0,SRSA,1,0,0,-
3604620,490101040000,BERLIN CENTRAL SCHOOL DISTRICT,PO BOX 259,BERLIN,NY,12022,259,5186582690,8,YES,NO,841,NO,9.5,NO,,,YES,"$50,847",,,,1,0,0,0,-,1,0,0,-
3604650,10201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,1738 HELDERBERG TRAIL,BERNE,NY,12023,2926,5188721293,8,YES,YES,928,NO,11.8,NO,,,YES,"$66,722",,,,1,0,0,0,-,1,0,0,-
3604710,10306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,90 ADAMS PL,DELMAR,NY,12054,3297,5184397098,"4,8",NO,NO,4991,NO,5.69,NO,,,NO,"$105,172",,,,0,0,0,0,-,0,0,0,-
3604740,280521030000,BETHPAGE UNION FREE SCHOOL DISTRICT,10 CHERRY AVE,BETHPAGE,NY,11714,1596,5166444001,3,NO,NO,3023,NO,4.37,NO,,,NO,"$86,789",,,,0,0,0,0,-,0,0,0,-
3604870,30200010000,BINGHAMTON CITY SCHOOL DISTRICT,PO BOX 2126,BINGHAMTON,NY,13901,2126,6077628100,2,NO,NO,5671,NO,34.88,YES,,,NO,"$560,406",,,,0,0,0,0,-,0,1,0,-
3624630,661905020000,BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,390 N RIDGE ST,RYE BROOK,NY,10573,1105,9149373600,3,NO,NO,1522,NO,3.27,NO,,,NO,N/A,,,,0,0,0,0,-,0,0,0,-
3600012,22902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,100 SCHOOL ST,BOLIVAR,NY,14715,1235,5859282561,7,YES,YES,825,NO,19.2,NO,,,YES,"$77,721",,,,1,0,0,0,-,1,0,0,-
3605010,630101040000,BOLTON CENTRAL SCHOOL DISTRICT,PO BOX 120,BOLTON LANDING,NY,12814,120,5186442400,8,YES,YES,223,NO,7.2,NO,,,YES,N/A,,,,1,1,0,0,SRSA,1,0,0,-
3605220,570401040000,BRADFORD CENTRAL SCHOOL DISTRICT,2820 RT 226,BRADFORD,NY,14815,9602,6075834616,7,YES,YES,288,NO,23.68,YES,,,YES,"$18,310",,,,1,1,0,0,SRSA,1,1,Initial,RLIS
3627960,510101040000,BRASHER FALLS CENTRAL SCHOOL DISTRICT,PO BOX 307,BRASHER FALLS,NY,13613,307,3153895131,7,YES,YES,1049,NO,19.84,NO,,,YES,"$85,862",,,,1,0,0,0,-,1,0,0,-
3605280,580512030000,BRENTWOOD UNION FREE SCHOOL DISTRICT,1 5TH AVE,BRENTWOOD,NY,11717,6198,6314342325,3,NO,NO,16456,NO,15.43,NO,,,NO,"$607,353",,,,0,0,0,0,-,0,0,0,-
3605310,480601060000,BREWSTER CENTRAL SCHOOL DISTRICT,30 FARM-TO-MARKET RD,BREWSTER,NY,10509,9956,8452798000,"3,8",NO,NO,3421,NO,6.13,NO,,,NO,"$67,259",,,,0,0,0,0,-,0,0,0,-
3605340,661402020000,BRIARCLIFF MANOR UNION FREE SCHOOL DISTRICT,45 INGHAM RD,BRIARCLIFF MANOR,NY,10510,2221,9149418880,3,NO,NO,1631,NO,6.89,NO,,,NO,N/A,,,,0,0,0,0,-,0,0,0,-
3605370,580909020000,BRIDGEHAMPTON UNION FREE SCHOOL DISTRICT,PO BOX 3021,BRIDGEHAMPTON,NY,11932,3021,6315370271,8,YES,NO,143,NO,9.25,NO,,,YES,"$8,722",,,,1,1,0,0,SRSA,1,0,0,-
3601020,10100860976,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,116 N LAKE AVE,ALBANY,NY,12206,,5186945550,2,NO,NO,50,NO,M,NO,,,NO,"$2,993",,,,0,1,0,0,-,0,0,0,-
3601021,10100860977,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,250 CENTRAL AVE,ALBANY,NY,12206,,5186945550,2,NO,NO,42,NO,M,NO,,,NO,"$3,110",,,,0,1,0,0,-,0,0,0,-
3600032,10100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,116 N LAKE AVE,ALBANY,NY,12206,2610,5186948200,2,NO,NO,255,NO,M,NO,,,NO,"$11,507",,,,0,1,0,0,-,0,0,0,-
3600033,10100860830,BRIGHTER CHOICE SCHOOL FOR GIRLS,250 CENTRAL AVE,ALBANY,NY,12206,2610,5186944100,2,NO,NO,247,NO,M,NO,,,NO,"$11,370",,,,0,1,0,0,-,0,0,0,-
3605460,260101060000,BRIGHTON CENTRAL SCHOOL DISTRICT,2035 MONROE AVE,ROCHESTER,NY,14618,2027,5852425080,4,NO,NO,3517,NO,7.66,NO,,,NO,"$97,150",,,,0,0,0,0,-,0,0,0,-
3600005,171102040000,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,20 PINE ST,BROADALBIN,NY,12025,9997,5189542500,7,YES,NO,1795,NO,18.89,NO,,,YES,"$69,340",,,,1,0,0,0,-,1,0,0,-
3605580,261801060000,BROCKPORT CENTRAL SCHOOL DISTRICT,40 ALLEN ST,BROCKPORT,NY,14420,2296,5856371810,4,NO,NO,3833,NO,11.47,NO,,,NO,"$142,173",,,,0,0,0,0,-,0,0,0,-
3600973,800000066511,BROCKPORT MEOP,SUNY COLLEGE AT BROCKPORT,BROCKPORT,NY,14420,2945,5853952356,,,NO,N/A,NO,M,NO,,,,N/A,,,,0,0,0,0,-,0,0,0,-
3605610,62301040000,BROCTON CENTRAL SCHOOL DISTRICT,138 W MAIN ST,BROCTON,NY,14716,9779,7167922173,7,YES,NO,581,NO,26.56,YES,,,YES,"$57,896",,,,1,1,0,0,SRSA,1,1,Initial,RLIS
3600956,320900860913,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,1166 RIVER AVE,BRONX,NY,10452,,7186818275,1,NO,NO,314,NO,M,NO,,,NO,N/A,,,,0,1,0,0,-,0,0,0,-
3600089,321100860855,BRONX CHARTER SCHOOL FOR BETTER LEARNING,3740 BAYCHESTER AVE ANNEX,BRONX,NY,10466,,7186556660,1,NO,NO,373,NO,M,NO,,,NO,"$14,995",,,,0,1,0,0,-,0,0,0,-
3600110,320700860852,BRONX CHARTER SCHOOL FOR CHILDREN,388 WILLIS AVE,BRONX,NY,10454,,7184023300,1,NO,NO,429,NO,M,NO,,,NO,"$18,454",,,,0,1,0,0,-,0,0,0,-
3600113,321100860859,BRONX CHARTER SCHOOL FOR EXCELLENCE,1960 BENEDICT AVE,BRONX,NY,10462,,7188287301,1,NO,NO,382,NO,M,NO,,,NO,"$10,648",,,,0,1,0,0,-,0,0,0,-
3600063,320800860846,BRONX CHARTER SCHOOL FOR THE ARTS,950 LONGFELLOW AVE,BRONX,NY,10474,,7188931042,1,NO,NO,308,NO,M,NO,,,NO,"$18,768",,,,0,1,0,0,-,0,0,0,-
3600968,321000860914,BRONX COMMUNITY CHARTER SCHOOL,2348 WEBSTER AVE-1ST FL,BRONX,NY,10458,,7185841400,1,NO,NO,176,NO,M,NO,,,NO,"$8,234",,,,0,1,0,0,-,0,0,0,-
3600967,320700860915,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER SCHOOL,750 CONCOURSE VILLAGE W-LOWER,BRONX,NY,10451,,7189931740,1,NO,NO,199,NO,M,NO,,,NO,"$9,055",,,,0,1,0,0,-,0,0,0,-
3600111,321200860870,BRONX LIGHTHOUSE CHARTER SCHOOL,1001 INTERVALE AVE,BRONX,NY,10459,,6469150025,1,NO,NO,479,NO,M,NO,,,NO,N/A,,,,0,1,0,0,-,0,0,0,-
3600042,320900860807,BRONX PREPARATORY CHARTER SCHOOL,3872 3RD AVE,BRONX,NY,10457,8015,7182940841,1,NO,NO,695,NO,M,NO,,,NO,"$18,660",,,,0,0,0,0,-,0,0,0,-
3601011,320700860981,BRONX SUCCESS ACADEMY CHARTER SCHOOL 1,510 E 141ST ST,BRONX,NY,10454,,3472867950,1,NO,NO,192,NO,M,NO,,,NO,"$11,269",,,,0,1,0,0,-,0,0,0,-
3601012,320800860980,BRONX SUCCESS ACADEMY CHARTER SCHOOL 2,968 CAULDWELL AVE-3RD FL,BRONX,NY,10456,,3476872722,1,NO,NO,193,NO,M,NO,,,NO,"$11,666",,,,0,1,0,0,-,0,0,0,-
3605640,660303030000,BRONXVILLE UNION FREE SCHOOL DISTRICT,177 PONDFIELD RD,BRONXVILLE,NY,10708,4829,9143950500,3,NO,NO,1539,NO,2.75,NO,,,NO,N/A,,,,0,0,0,0,-,0,0,0,-
3605670,250109040000,BROOKFIELD CENTRAL SCHOOL DISTRICT,PO BOX 60,BROOKFIELD,NY,13314,60,3158993323,8,YES,YES,232,NO,8.57,NO,,,YES,"$19,739",,,,1,1,0,0,SRSA,1,0,0,-
3615780,580203020000,BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,290 NORWOOD AVE,PORT JEFFERSON STATION,NY,11776,2999,6314748105,3,NO,NO,3890,NO,6.62,NO,,,NO,"$90,875",,,,0,0,0,0,-,0,0,0,-
3600966,331800860916,BROOKLYN ASCEND CHARTER SCHOOL,205 ROCKAWAY PKWY-2ND FL,BROOKLYN,NY,11212,,7182409162,1,NO,NO,428,NO,M,NO,,,NO,"$15,591",,,,0,1,0,0,-,0,0,0,-
3600045,331400860809,BROOKLYN CHARTER SCHOOL (THE),545 WILLOUGHBY AVE,BROOKLYN,NY,11206,,7183022085,1,NO,NO,224,NO,M,NO,,,NO,"$8,535",,,,0,1,0,0,-,0,0,0,-
